"ENTREZ_ID","KEGG_ID"
387,"map04062, map04144, map04270, map04310, map04350, map04360, map04510, map04520, map04530, map04660, map04670, map04722, map04810, map04972, map05100, map05130, map05200, map05210"
391,"map05100, map05131"
394,"map04510, map04670"
396,"map04722, map04962"
397,"map04722, map04962"
399,"map04670"
405,"map05200, map05211"
406,"map04710"
408,"map04010, map04062, map04144, map04744"
409,"map04010, map04062, map04144, map04740, map04744"
410,"map00600, map04142"
411,"map00531, map01100, map04142"
412,"map00140"
427,"map00600, map01100, map04142"
434,"map04916"
435,"map00250, map00330, map01100"
438,"map00380, map01100"
440,"map00250, map00910, map01100"
443,"map00250, map00340"
445,"map00250, map00330, map01100"
462,"map04610"
468,"map04010, map04141, map04720, map04722, map04912, map05215"
471,"map00230, map00670, map01100"
472,"map04110, map04115, map04210"
476,"map04260, map04960, map04964, map04970, map04971, map04972, map04973, map04974, map04976"
477,"map04260, map04960, map04964, map04970, map04971, map04972, map04973, map04974, map04976"
478,"map04260, map04960, map04964, map04970, map04971, map04972, map04973, map04974, map04976"
479,"map00190"
480,"map04260, map04960, map04964, map04970, map04971, map04972, map04973, map04974, map04976"
481,"map04260, map04960, map04964, map04970, map04971, map04972, map04973, map04974, map04976"
482,"map04260, map04960, map04964, map04970, map04971, map04972, map04973, map04974, map04976"
483,"map04260, map04960, map04964, map04970, map04971, map04972, map04973, map04974, map04976"
486,"map04260, map04960, map04964, map04970, map04972, map04973, map04974, map04976"
487,"map04020, map04972, map05010"
488,"map04020, map04260, map04972, map05010, map05410, map05412, map05414"
489,"map04020, map04972, map05010"
490,"map04020, map04970, map04972"
491,"map04020, map04970, map04972"
492,"map04020, map04970, map04972"
493,"map04020, map04970, map04972"
495,"map00190, map04966, map04971"
496,"map00190, map04966, map04971"
498,"map00190, map01100, map05010, map05012, map05016"
501,"map00010, map00053, map00071, map00260, map00280, map00300, map00310, map00330, map00340, map00380, map00410, map00561, map00620, map00640, map01100"
506,"map00190, map01100, map05010, map05012, map05016"
509,"map00190, map01100, map05010, map05012, map05016"
513,"map00190, map01100, map05010, map05012, map05016"
514,"map00190, map01100, map05010, map05012, map05016"
515,"map00190, map01100, map05010, map05012, map05016"
516,"map00190, map01100, map05010, map05012, map05016"
517,"map00190, map01100, map05010, map05012, map05016"
518,"map00190, map01100, map05010, map05012, map05016"
521,"map00190, map01100"
522,"map00190, map01100, map05010, map05012, map05016"
523,"map00190, map01100, map04145, map04966, map05110, map05120, map05323"
525,"map00190, map01100, map04145, map04966, map05110, map05120, map05323"
526,"map00190, map01100, map04145, map04966, map05110, map05120, map05323"
527,"map00190, map01100, map04142, map04145, map04966, map05110, map05120, map05323"
528,"map00190, map01100, map04145, map04966, map05110, map05120, map05323"
529,"map00190, map01100, map04145, map04966, map05110, map05120, map05323"
533,"map00190, map01100, map04142, map04145, map05110, map05120, map05323"
534,"map00190, map01100, map04145, map04966, map05110, map05120, map05323"
535,"map00190, map01100, map04142, map04145, map04966, map05110, map05120, map05323"
537,"map00190, map01100, map04142, map04145, map05110, map05120, map05323"
539,"map00190, map01100, map05010, map05012, map05016"
545,"map04110, map04115"
549,"map00280, map01100"
551,"map04962"
552,"map04020, map04080, map04270"
553,"map04020, map04080, map04270"
554,"map04080, map04962"
567,"map04612"
570,"map00120, map00430, map01040, map01100, map04146, map04976"
572,"map04012, map04210, map04370, map04510, map04722, map04910, map05010, map05014, map05145, map05160, map05200, map05210, map05212, map05213, map05215, map05218, map05220, map05221, map05223"
573,"map04141"
575,"map04115"
578,"map04141"
581,"map04115, map04141, map04210, map04722, map05014, map05016, map05020, map05200, map05210"
586,"map00280, map00290, map00770, map01100"
